Material Quantity (gm),Additive Catalyst (gm),Ash Component (gm),Water Mix (ml),Plasticizer (gm),Moderate Aggregator,Refined Aggregator,Formulation Duration (hrs),Compression Strength MPa
272.83,-0.677922347976553,-0.5116412987831402,176.67,-0.5038342485705587,1033.45,981.94,0.9867290315999285,73.59
631.27,1.2643884671579437,1.4578546909034071,228.79,0.10720364318956815,828.0,947.59,0.7664533804199593,35.36
299.33,0.7609223161903427,0.46503708198874094,202.55,1.1597316845504821,939.08,804.85,0.45113358239182483,73.08
442.37,0.3933254596912281,-1.8582170974508332,201.18,-0.14620444404564323,968.92,775.18,-1.2527840828334604,79.86
615.01,0.486499270194631,0.9201311119683003,168.45,-1.630918489771409,942.08,631.2,0.2991343213502646,74.52
615.6,0.7781454936210138,0.8465422377711231,234.05,-1.2507413579132491,931.09,734.74,-0.027419304461948825,34.82
235.83,1.4311029409624025,-0.9254054960852006,220.75,0.9586356617166214,1145.42,950.49,-0.7943226146485084,50.59
205.19,1.0350493211251577,0.7399528091150656,166.36,0.3849050383096063,1015.13,915.25,0.4130203789396172,75.96
280.6,-1.9190507773424657,0.5253795066076777,238.51,-0.9892262852256559,1055.79,778.05,-1.2527840828334604,27.42
323.64,0.8145651174863985,-0.23055303914127148,298.89,1.3907932684073476,976.7,858.68,-0.597693621990121,55.01
187.91,-0.7874628045293403,0.284473497549593,280.15,0.4285456925547691,944.61,891.58,-1.7678244808350903,32.38
534.59,-1.8857446995731721,-1.5988002657035227,198.65,-0.9483632309094165,843.04,726.45,-1.6152046016238846,50.12
593.24,-1.313485946979941,1.4367920631912343,169.51,-0.4580310844553862,951.34,754.62,-1.5141598993687775,52.04
366.39,0.7754882810378544,-0.4825267473561941,232.32,0.9750371534012205,832.22,766.33,-0.5280944743786377,69.14
172.39,0.558628420021336,-1.8582170974508332,248.27,-1.8607062709885573,996.72,767.69,-1.6612552829045986,11.64
390.01,1.3915187785630967,-1.2871322133000864,154.14,-1.271324272249298,1064.49,833.73,-0.7152445984468818,46.11
644.12,1.05893404563203,0.5058988546732256,213.09,-1.1553832726575681,929.33,678.51,1.433726274976276,36.1
409.48,-1.3884672034126866,1.433925393917533,168.11,1.4132103419954771,1028.06,774.51,0.5558541054572725,77.43
224.57,0.3671426870747503,0.18365242423538616,271.18,-0.0061288619925151,928.45,855.69,-1.2829471612337904,53.41
222.65,0.41414783010861533,0.9354180223786935,167.92,-0.1788965377492833,888.2,894.16,1.4041930221335877,50.75
434.32,-0.17137764132299996,-1.8582170974508332,195.2,-0.4297729579884389,1088.21,673.85,-1.2527840828334604,66.08
468.48,0.19315544636580095,0.4418013888388419,277.62,0.29243249073084043,1097.44,810.98,1.2488605756420816,73.89
379.81,1.3868702473356405,-1.0297439249951585,210.31,-0.8981014936077419,1173.57,703.43,0.014096517590042592,70.84
301.23,1.105103532686471,-0.680790004297122,213.64,0.16574611525686914,1018.29,731.87,0.376008911995511,56.56
292.23,1.1439956067087191,-0.4883795107333867,190.64,1.105058843968441,897.69,660.17,1.1484198225085753,78.96
164.79,-1.4247164508571406,-1.6742374747723188,176.29,0.13579619167472642,1123.61,980.8,0.5103229060319873,61.15
324.32,0.37346497465339706,0.8883371204966561,271.0,0.8517189530182376,887.63,635.91,0.8015829541548873,72.65
170.68,-0.0525637060210823,0.32710917757286767,244.37,-0.6187797114362681,939.49,772.72,-1.2527840828334604,40.81
654.77,-1.1244997679633955,0.9958782126814993,265.05,0.3498136463586266,843.69,616.52,1.525968029362415,62.07
484.34,-1.4041153673334719,1.0081797748973789,203.74,0.7107547264486469,991.79,649.23,-1.2527840828334604,62.33
306.71,-1.9190507773424657,0.5253795066076777,229.97,-0.8226377238378031,1054.77,777.13,-1.5092729810137866,33.52
161.3,0.3040419985071508,1.4360972523431652,218.42,1.2182424491818666,879.28,796.21,0.8036417120675876,72.6
504.7,0.3801388199440208,0.8267271710181154,257.41,-0.8434676738784772,1006.38,659.55,-0.7931923132196518,71.98
359.59,0.2239884348432322,-1.1981550717221354,250.36,-0.2771970796152518,1109.16,639.85,1.1925744740835822,51.77
287.92,-1.9190507773424657,-1.8582170974508332,236.68,-1.8607062709885573,992.82,907.69,-1.2527840828334604,20.63
201.3,-0.08781200526039826,0.6993488605012556,213.62,-0.5347915741173899,1031.59,765.74,-1.2527840828334604,51.96
249.7,-0.140348749282644,-1.019068392195024,247.91,-0.7644450421001135,1010.77,907.02,1.5048468308109182,61.31
227.54,-1.356286023831926,1.043581430943933,155.07,1.0427142337542872,1066.31,919.22,0.19685877105820968,43.53
372.15,-0.18725606902939276,1.32853890235671,237.42,-0.8722884890960775,973.69,649.2,-1.505013449443523,29.23
610.9,-0.6564970177215659,1.1279235765664104,195.31,1.463786694419318,939.59,935.6,-0.7325463699538243,75.38
544.37,0.6182460852485908,0.8789207402710287,175.7,-0.4760729463408713,916.04,731.65,0.9055118450208125,70.62
283.09,0.34485680604455515,-0.7621789283389168,299.23,0.9546914769277726,826.04,973.5,-0.5940662060769858,68.58
461.52,0.7648954012620277,0.00592052776799996,296.73,0.8200699070111277,1132.53,981.33,1.1134463441309084,73.33
315.88,0.9399388511691437,0.15596845697819392,227.12,1.0607861475254667,1064.88,633.08,1.346150054405177,52.96
408.2,1.1434502486028828,0.8158010584718624,177.22,1.1413573208870307,1145.14,670.05,0.8863284694435698,64.68
449.47,0.5523521958366593,0.5469715978526986,242.42,0.2779601897058165,886.64,978.85,0.5691687786751386,51.62
288.78,0.01700180323858854,1.2440151930083974,202.13,-0.9845146408695991,997.16,860.99,-0.8183486108716072,68.93
402.3,0.7500159351724797,-1.1309852175650361,275.72,-1.7888922372574318,1080.65,798.86,0.5691687786751386,52.76
287.82,-1.2042804909938787,0.1354673603738408,293.11,0.6892819684066468,1015.33,736.02,-0.03803743079613061,44.82
465.31,-1.9190507773424657,-1.8582170974508332,226.55,-1.8607062709885573,1132.92,804.41,-1.2527840828334604,25.19
638.25,0.757599171829142,0.33177873520560325,156.05,0.439569788419805,923.68,641.95,-1.2705676220812059,64.4
393.16,-1.073079283697318,0.3587899533188722,172.95,0.613691026493286,1100.97,783.67,-0.38987991485969525,59.45
213.91,-0.397187470093857,1.0135634748725013,202.27,0.8295186026071956,937.0,939.81,-0.7056331743983532,61.68
335.5,-1.9190507773424657,-1.8582170974508332,223.26,-1.8607062709885573,1115.9,828.72,-1.6612552829045986,15.9
271.33,-1.9190507773424657,0.23630822666060988,230.95,-1.0034277234792184,991.9,892.62,-0.8450200789781259,32.98
597.2,-0.34817874769856394,1.141641098112676,279.36,0.5087434487792369,836.81,815.6,1.10943812752896,62.27
656.8,0.9119499909463608,0.5212584519762303,259.19,-0.13680023833905527,961.35,685.92,0.013227537794511733,67.33
278.01,1.4414698940603823,1.018846784962466,215.74,1.563076907030103,1156.23,932.37,0.997344332870663,62.39
443.0,0.7692990731885155,1.1076919861685233,151.64,0.9573212714859911,1162.5,994.64,0.02095121936057822,72.45
193.74,0.7379827251801506,-1.8582170974508332,226.55,-1.8607062709885573,1067.28,753.13,-1.6612552829045986,10.77
596.01,-1.026715334101533,0.7966400071763547,194.99,-1.4331510094815612,1051.16,974.62,0.6946289978605881,70.05
222.45,1.312952831284244,0.6434016177857869,234.89,0.013551043192883838,1164.23,774.4,-1.1467246274628207,56.07
570.2,0.5706890182686463,0.7880200415943736,221.07,0.8691401856517518,1125.46,832.69,1.3741495970174635,73.98
265.23,0.505650298495454,-1.0979225272963573,268.78,0.9966073649116562,920.26,776.17,0.9516382749571499,68.71
653.05,0.8210577226039117,-1.0241056110889108,170.69,-0.11043726295691722,837.52,629.57,1.067509383764349,62.0
422.97,1.059490251450362,-0.07849484714039016,216.69,0.1618186658877239,1143.81,741.94,1.3317582260457124,63.99
270.82,0.5508534692511103,0.3129528951413158,268.3,-0.1849540225330181,1074.7,613.63,1.3778825371680832,60.76
546.96,-0.08788296956724943,0.48408082393043306,271.1,-0.16939998046625146,910.43,678.52,1.4857024907849894,59.78
181.78,0.7232722884429252,-1.8582170974508332,214.72,-0.00284138530831739,868.72,915.9,-1.2527840828334604,36.92
282.8,-1.9190507773424657,0.5676119848877436,212.28,-0.7066046319719345,1083.49,798.46,-0.346391695550903,51.34
607.86,-0.7910085282943109,1.268549492955082,299.74,0.6158076041227921,832.78,1015.74,0.4049614829063649,39.9
456.28,0.3947739977845867,-1.8582170974508332,207.52,-0.3067485330903296,949.85,776.1,-1.7590435556943051,38.53
340.51,1.0039636215707668,0.8419396377798862,261.04,-0.8522960210713005,1141.62,849.05,1.4975072444400086,42.4
596.14,0.25262499882566797,-1.7754262619361658,187.81,-0.07755705354910424,853.8,649.51,0.401188077165741,65.73
460.22,-0.24310974212116224,-0.9714552992237757,220.12,0.3543098805063518,875.07,755.56,0.26608804444238676,31.7
581.47,1.3956469412871189,-0.04549435541607726,162.1,1.017438432546772,936.53,664.18,0.8639727765848965,76.45
341.6,-0.0834867594725773,0.2819961529991907,209.84,-0.4297729579884389,846.15,825.64,-1.2527840828334604,59.16
327.41,-1.907542495813679,0.25281468878027635,267.53,1.430117556023895,1078.48,841.74,-0.1758414980240828,29.36
632.92,-0.5379720586033269,1.1915868673865257,231.15,0.28101129816524384,822.66,640.54,-0.241419376271152,63.53
368.24,-0.4942084883995189,-0.7334184608788649,300.89,1.5067962861892856,1065.31,768.58,0.7109254266011286,63.73
461.17,-1.784201004580372,0.009586994385544353,266.67,0.11278026918438605,1093.26,781.74,0.9586849261100333,55.02
195.2,0.8160684998329105,-1.8582170974508332,204.96,-0.1045124747049453,1075.9,705.64,-1.2527840828334604,44.18
221.72,1.1485541091726388,0.022386208102515966,233.37,-1.380114503201735,1083.01,773.3,0.10829842869440416,52.86
284.13,0.09327061818528279,0.6718249593791975,157.07,-1.4471368989194862,1068.99,652.31,0.009226462937100702,68.65
206.06,-0.9992541570109741,0.60195308413052,193.13,-0.23030651777789027,1108.51,816.62,-1.7590435556943051,8.29
499.44,-0.3131261125958356,0.15468347903908022,248.31,1.3113330503585219,1008.6,866.96,-1.3277872724215642,74.91
618.33,1.4095527796671294,-0.48135792769588376,159.33,0.8530612242622726,1156.22,921.77,-0.016229775667400533,72.21
647.2,1.1547400934205434,-0.23731741407498563,236.9,-0.5318745256525311,848.96,614.66,0.842977186635485,62.93
267.06,-1.9190507773424657,0.5993615953178124,193.37,-0.1771678651038437,1106.36,815.28,-0.346391695550903,51.78
623.61,1.3379449717211276,1.0946218290400465,219.31,-0.6248101351859902,835.36,697.34,-0.8173305899432443,58.71
528.8,0.9029272334477371,1.179557741166131,235.75,0.1876663772302977,873.89,756.08,-0.5638263881168936,67.3
445.21,-1.0610998034980748,1.0136578712434077,216.75,1.5919028803880304,925.49,834.4,1.311103433483407,38.32
147.72,0.41624692402129254,-0.5394770794419675,285.42,0.5583107027953549,1134.34,920.17,-1.7276841928525337,71.69
326.13,0.25439030968575954,0.060237836592273046,205.25,-0.6419729133198341,1017.02,817.23,-0.04585237763452422,39.05
544.12,-1.2781642932709567,-0.019495612163879204,197.64,-0.14620444404564323,991.79,730.26,-1.6612552829045986,44.02
204.23,-0.07570483475202726,0.6558989680730971,214.11,-0.570041989667601,1032.1,765.74,-1.5092729810137866,35.63
580.87,-1.08721604927442,0.1829572599845886,208.37,1.5352984380285373,852.94,845.96,-1.455822537328888,69.92
282.27,1.170142199257398,-1.0562754865565989,256.61,-1.727486390574828,1100.78,723.19,1.003860820251153,64.9
264.27,0.5938911771025124,0.29761986348995145,290.13,0.2295964233026637,929.89,863.34,0.5058780962143281,69.96
608.04,-0.25142014657460854,0.4183156547920317,284.82,1.0330072199219082,932.26,692.25,-0.5077931467044003,73.61
179.34,-0.2073945698009294,0.12746734746029637,246.44,-0.4297729579884389,882.05,850.26,-1.2527840828334604,22.39
366.29,0.1796239260160381,0.2083552607832608,288.36,1.3297680977793247,837.26,981.32,0.13913596349826834,67.42
466.72,1.219781280706817,0.4364027034979222,160.89,0.035563604008145434,1024.54,854.77,0.11883966705799533,56.8
589.73,0.613660157433689,-1.1249327716965631,187.69,-0.7580673016633106,1085.23,888.83,1.341758318434545,71.02
359.54,1.3865413886542426,0.21111469633054442,242.4,-1.0995913187293203,822.73,989.32,1.214542504507291,73.77
535.52,0.8206287927500788,-1.3217004183352812,193.1,0.817366929146527,978.34,683.57,1.2476905286091393,71.0
567.71,0.7361744495622964,-0.48691496216605673,216.14,0.927657555303826,955.05,943.46,1.5127190158713621,66.83
440.47,0.8597891724428427,0.046624037204421855,227.0,1.4204622736603878,1166.76,682.32,-1.3796496948526351,53.12
378.2,-1.9190507773424657,-1.8582170974508332,234.24,-1.8607062709885573,1037.95,851.28,-1.7590435556943051,13.27
580.65,-0.6642846055881576,-0.3866817712546071,287.18,-0.10535824522031706,861.48,674.25,0.6079978113287919,45.83
305.29,0.7183744030046333,-0.4396558766059242,231.25,1.3597513054505412,947.98,1007.5,-0.8565543339956777,38.1
413.43,0.4868516228576963,-0.6434036347861601,208.69,1.5766244332155488,857.52,680.02,-1.3025031967917224,47.52
225.18,-0.08596759791476087,-0.7084712217936365,294.81,-1.4377963148561677,910.82,840.0,0.7390109768401111,53.28
147.66,0.9977083043851168,0.7171290085340651,150.67,0.6129852826295302,850.79,678.37,-1.557818177239529,53.41
184.37,1.081628613835795,-0.1429084879928247,227.0,-1.2740890351568888,1169.22,887.95,0.7821276255115158,71.84
490.42,-0.005143269066513465,-0.7039391747962953,276.21,1.4004977360368167,1142.26,952.63,1.4304930466957968,62.51
250.52,1.4625062330470688,1.4230530046895553,227.7,1.0787963958281888,1145.46,995.15,-1.2990521949284788,70.98
573.89,1.2771556789640706,1.1149997527280886,149.5,0.6565374735420809,902.94,816.36,0.9209350365502601,40.88
308.67,-0.3422735045578974,-1.1854386868455256,236.88,1.3303815730547368,1155.86,911.39,0.9364166922316823,73.06
536.6,-1.8666758999983415,-0.6942617030559698,182.08,0.9678269574519749,1151.25,758.81,0.8988712765684899,55.35
596.14,1.4131513045528412,0.10062140602534664,275.51,-1.7910985698277697,833.05,668.26,1.191861723272742,56.7
382.68,1.3161021815596066,0.945964352998618,274.09,1.5400357045767752,996.38,686.9,-0.9268476123178037,56.78
335.62,-1.9190507773424657,0.5651030718305428,194.59,-0.3284183641982672,1080.62,797.44,-1.7590435556943051,26.66
191.98,-0.2654611476775631,1.4333171174462673,254.21,-0.30045663308557846,968.75,986.19,-1.4821523779087418,56.77
644.64,0.8073085109324587,1.1495413174519449,154.85,-0.26030775755001084,918.27,801.67,1.207273809299125,57.04
378.2,-1.9190507773424657,-1.8582170974508332,234.24,-1.8607062709885573,994.87,871.79,1.5031500765608716,42.68
589.42,-0.7006289279601562,0.12145474284521132,216.16,-0.6602710507354845,850.84,981.9,1.3824024581474192,66.05
356.32,0.20400155823440985,1.3686225412216217,269.06,-1.087146330150163,915.95,782.74,1.308571216608189,65.23
529.08,-0.9706595919293763,0.6970198217797591,156.62,0.5044068940300271,826.1,985.95,1.4255823234262468,63.83
139.5,-1.2978422822546702,1.3783767362321626,192.62,0.6432345500990028,1104.1,892.41,1.3606581481024873,73.57
617.36,-1.6944309147522802,0.9655552083233057,259.26,0.7929725149370971,1159.38,771.07,-0.0001044588611488568,58.38
579.44,0.4306651436553021,0.599465286394756,166.89,0.3915912570161547,1126.48,978.87,-0.6255695666818124,57.83
160.68,-0.542796813596062,-0.897013758318311,248.86,-0.1590709611337319,1010.63,740.63,1.016233776243044,54.44
476.61,1.40356472973353,0.4787408585803972,268.02,0.5668751100826912,966.81,833.91,1.2230340589045423,59.47
366.92,0.8053172971120908,-0.46012700976567517,195.67,1.0336549139700963,1159.15,908.47,1.064310937841891,76.09
457.55,0.9017191661350191,-0.6643905774537758,267.65,-0.8084945086325048,1051.54,934.9,1.1299785875795036,70.42
453.61,0.6504672359949722,0.01739457950545444,264.11,1.1127210380157233,1004.96,923.94,0.9885528907580431,57.7
340.31,-0.3613825618639446,1.1879447195248574,203.97,0.9625768079524113,899.58,701.28,-1.0250680022935927,57.79
360.08,-0.5931063345557392,0.06420274152824008,276.78,1.5358907997317075,973.36,986.71,-0.00036656125882913245,38.48
166.93,-1.6683207624861416,1.1779151686008666,281.94,-1.183953357523617,866.78,994.09,1.1215705396485947,64.12
362.42,0.9932931449789835,-0.008788281481379324,257.51,0.1962441655176028,1105.45,863.47,1.1600629827143323,73.26
214.42,-0.41636293533844776,1.4168677256624551,212.73,-1.0551710243120584,964.07,657.96,0.4756855450320006,68.65
566.54,-0.49252409804866304,0.9966361571729275,194.4,1.540627601646176,1173.46,751.47,-0.4250238764560395,46.16
511.18,-0.2720161939142334,1.4324480324852913,296.27,-0.06917638851675649,1082.81,885.14,0.9149025805354857,65.01
248.27,-0.026217941086013843,-1.8582170974508332,226.55,-1.8607062709885573,1103.79,778.77,-1.2527840828334604,25.35
461.99,0.9253941643010738,0.13687714603781095,221.39,-1.3860726278168805,1051.98,1001.56,-0.03183813741634297,71.59
516.78,0.7687013405029923,1.4542200614951546,263.47,-0.7869034012298508,896.27,849.41,0.39597281806564805,58.8
364.95,0.44823047060345017,0.3027754236496096,241.58,0.27643376973494344,841.31,654.9,-1.3440783717834262,72.0
191.1,0.38401558071785996,-0.2269785755368655,201.18,-0.14877379832000273,860.2,745.76,0.9134249314428471,62.75
185.61,-0.3407013237475934,-0.21931560559196084,226.88,-1.703356551460594,1093.5,935.34,1.5187765153264694,33.72
533.81,0.5414430840475776,-0.6350982533528409,176.95,0.2265057783722588,904.65,950.14,-1.2911475683817433,52.04
269.38,0.06943647020679194,-1.8582170974508332,226.55,-1.8607062709885573,1082.05,763.38,-1.2527840828334604,28.84
299.54,0.6108831327579222,-0.8030789149186507,300.1,1.3322216033401957,1075.77,760.45,1.1356535388828792,51.56
509.83,-0.29433052901112083,1.4645982981084051,189.47,-0.5086485960876388,1020.15,660.42,-0.595312397094391,58.83
238.92,-0.7857910089101416,1.170425509255035,267.66,-0.3548086830675892,967.5,985.86,-0.025653915632791707,46.59
445.61,1.4732665907314155,0.6178806408128112,160.8,0.4344287421352229,1018.85,906.3,0.2865906442678614,71.71
202.64,-1.9190507773424657,1.068935696575204,215.33,-1.0034277234792184,1085.74,800.1,-1.5092729810137866,28.54
266.37,-0.3654301140202245,-1.0867373855769287,219.25,-1.3682737627364059,912.49,716.0,0.8613636428774077,63.8
570.6,-0.8839943071216904,-1.0094280374693374,299.17,1.5222517267702342,1025.21,674.39,-0.2647597185185299,49.83
245.22,0.11763626894927366,-0.929788200268689,172.47,0.9972596035380434,956.16,948.51,1.1780545814538743,44.99
259.13,0.30553077678631224,0.03355847123960781,244.74,-0.08259518509573427,1069.92,811.78,1.1523250351830083,76.0
291.47,0.6092385828389951,0.7038008592213728,164.17,-0.37682413337928294,885.23,823.42,1.099824502493051,69.61
244.01,-0.7340867269268074,-0.8003584571963929,182.68,-0.0935363894253156,1095.05,686.01,0.05401530484475538,68.77
310.98,-1.168853754329314,-1.0835001406055704,299.69,-0.050809521679583504,924.05,841.92,-0.043629770152256664,70.06
175.69,1.335380603023749,0.8764906674444705,270.33,1.1931529970487842,962.01,856.64,1.3219038607121834,76.65
546.75,1.3348105496827174,0.6007093743347444,177.11,1.2457100003160484,1045.38,697.8,1.1961361552771619,68.68
363.76,0.12119467721512985,-1.2030128639039146,223.81,-0.920800471492013,1168.12,949.58,0.7638337169532798,60.34
300.21,1.3828283809934934,0.08967872804717911,156.56,0.7970467502178646,917.59,888.13,1.2493869769079147,73.97
360.75,-1.9190507773424657,0.22098472840255304,209.23,-0.4410430435728911,979.59,881.23,-0.346391695550903,58.28
528.04,1.112051105417902,0.6208730957194482,258.55,-0.3915914822740742,911.76,846.67,0.7874025467134624,64.62
500.82,0.3101168199224912,0.7754063875403848,193.31,0.09762442788936823,1093.66,710.15,0.9652741853131035,74.51
168.48,0.06876600281991484,-0.16871270594534393,284.38,0.37895279227656503,972.77,993.61,-0.5972398391787676,50.84
141.2,0.766853213634433,0.33211204733032346,205.14,0.7684548406209765,906.58,836.96,0.23649148264478242,42.47
230.93,0.0013196187220056107,-1.372338253533718,210.08,0.2125678416941444,1107.0,690.25,1.38381384500215,65.66
271.31,0.03198541575489252,-0.3866817712546071,201.92,1.5613076119391633,1080.4,828.79,0.2892608119543208,75.15
394.48,0.10746446895601323,0.18307313048081952,157.3,0.5325185870367188,978.24,922.8,0.638396656817944,73.05
649.18,0.6117334687014139,0.66172509937714,210.92,1.211980784593542,1083.37,639.55,-0.736926977955928,61.2
174.08,0.4797388666524166,0.17878331022520005,284.88,0.33027333737406966,997.62,835.48,0.8166950134404192,70.51
277.39,0.20175848423443427,0.7229721947105624,243.25,0.43001721378480806,971.81,713.9,-0.36258809247524454,48.41
269.04,0.8796473376069569,1.111670982059449,297.33,1.2946901723006143,1012.39,710.65,0.8229714798776152,74.04
490.2,-0.39896052262640513,-1.8582170974508332,179.83,-0.1668147196963288,971.08,873.95,-1.7590435556943051,46.03
136.45,1.090220928385177,-1.0594518821658272,264.86,-1.4223752949865374,858.8,659.45,0.18335744182565492,34.44
309.88,-1.9190507773424657,-1.8582170974508332,241.56,-1.8607062709885573,992.82,885.13,-0.4496166545624613,30.17
578.93,-0.7179414597868438,0.287624011051651,190.04,-1.4362460472764003,1009.47,715.01,1.0970207525155036,68.14
591.68,1.1827886731884274,0.5304457122386517,290.38,-0.27452433843450297,971.91,683.85,-0.09271445722918215,37.21
429.04,0.7282187466510972,0.11531304817810659,237.37,-1.2183466821253466,980.76,679.01,0.820264140415245,70.97
176.58,-0.5579485921084718,0.901023237324809,167.81,0.9408627795347646,1073.58,629.71,1.0585834522137239,20.12
211.06,-0.19834184390851706,-1.8582170974508332,234.24,-1.8607062709885573,971.08,878.77,-1.7590435556943051,7.77
291.19,0.9350443083089582,1.253285509461878,243.23,1.0973856575885177,942.21,958.43,-0.00027919082611829385,49.3
186.66,-0.32824032552615756,-1.8582170974508332,234.24,-1.8607062709885573,910.77,967.28,-1.2527840828334604,20.12
544.12,-1.2781642932709567,-0.019495612163879204,197.64,-0.14620444404564323,991.79,730.26,-1.2527840828334604,57.14
554.3,1.216076366738801,-0.3423822536547205,248.51,0.0004430812754864024,1097.21,908.01,0.6252341205049947,9.15
437.47,0.7842122418103898,0.5214698922618173,176.19,1.4883163367397048,1069.14,644.19,-0.8965274158829563,78.91
139.98,-0.18836245044325103,0.8116598271948939,248.74,-0.16853800345509956,1041.35,836.93,1.415854180281499,52.19
407.7,-1.1849283318829866,0.7202530828649729,269.84,1.080080502367176,1065.64,704.64,0.9609672439797357,20.94
610.0,-1.9190507773424657,-1.8582170974508332,184.22,-0.4297729579884389,1059.49,671.79,-1.2527840828334604,78.22
349.29,0.4798565524720582,-1.8582170974508332,176.53,-0.1884204428104559,1030.36,824.31,-1.7590435556943051,27.33
480.72,0.5083358549698072,0.8823206556547756,300.2,1.5518626515642575,1131.45,695.48,-1.0190508991876082,38.74
278.86,0.08474761666986956,0.6080625042594985,154.49,0.8355831739450369,823.96,957.58,-0.8512315583693576,79.32
395.06,1.436637896495399,-1.7014184862516055,181.96,0.34381107432322716,1125.63,851.47,1.273579635739471,61.23
445.37,0.4779730955294938,0.8408617498334237,208.27,-0.31125056646744437,879.06,825.19,-0.2908943067435768,43.66
229.71,-0.7302746361912822,-0.8410717075268489,166.81,-0.4770256961822769,935.79,760.57,-0.5445010186732276,16.95
622.73,-0.6870084194049094,-0.06996035350758649,150.29,-1.6181472575374145,1094.69,1000.98,-0.2349716204956038,54.1
391.69,-0.4745013575302208,-0.6867130420203778,265.76,1.5613076119391633,1036.66,940.39,-1.4957361211079387,64.01
507.01,0.44793351115676716,0.6647882312788478,283.85,0.8017957112257523,880.48,673.18,1.0043615858771977,71.47
540.19,1.3276313458584912,0.06324199828532354,169.91,0.9454765150805423,907.27,823.63,0.5218781612851341,62.48
144.16,0.9676848201926667,0.9498891291581772,293.98,1.4403589092136986,947.99,744.74,-0.3471987505076057,73.49
208.85,-0.21178433725767504,0.7331284323483928,288.54,-1.6760122638309989,942.5,736.19,0.6054571329379785,75.93
491.95,0.33110406725449537,-1.2640610248839301,161.35,1.3450852558320794,973.17,864.92,-0.8635891565207697,48.59
367.67,0.582080306680177,1.383290997754609,193.44,0.6439356593873222,880.23,926.51,0.009487591612266914,76.75
527.64,-0.8010953687061414,-0.7180544721290975,200.15,0.303821617355227,1040.49,775.34,0.8889831334652326,71.47
213.27,0.661219479313474,1.3537370563052076,214.84,1.3950409675542086,987.07,904.17,1.023026574080804,58.24
180.02,-0.939585475250804,0.716120755732222,263.74,1.1337358504851602,1132.82,913.76,-0.9664173927537928,74.22
271.86,1.2753752489647012,-1.336550682258906,237.18,0.2771970519471501,965.89,932.66,0.40895602409026505,52.15
307.2,-1.9190507773424657,0.2806441525108348,178.24,-0.06332190747669891,1031.79,922.87,-0.8450200789781259,49.44
410.86,0.935200608204412,-0.41480327109203435,149.52,-0.4875271828843445,1079.68,765.29,1.2110576815467342,64.47
264.74,0.6688725178626829,0.37518810698607596,189.05,1.5913159532222443,840.91,864.74,0.22028797346589962,78.06
211.04,1.4368238334034702,-0.35567521433395766,202.04,1.437950784695962,1109.5,789.25,0.6301414836305552,53.63
492.49,1.1026517086774348,0.23311183630413798,241.08,0.7780042813909581,1075.8,693.74,1.525750295610522,73.28
